cluster,person,list1,list2,organize,map,count,match,x,y
1,"1,9,13","15,3,94,98,1","15,33,98","0,37,30,19","15,98",2,0,0.333763404,-0.178278576
2,"1,9,13","15,3,94,98,1","15,78,98","10,37,19,24","15,98",2,0,0.341043118,-0.068932742
3,"1,9,13","15,3,94,98,1","3,5,94","16,19","3,94",2,0,0.239969936,-0.424544892
4,"1,9,13","15,3,94,98,1","0,15,98","45,19,24,37","15,98",2,0,0.341229733,-0.08703447
5,"1,9,13","15,3,94,98,1","15,84,98","46,19,20","15,98",2,0,0.27575235,-0.29571357
6,"9,13,14","78,15,94,98,1","14,78,98","37,1,19,12,24","78,98",2,0,0.269025942,0.237182808
7,"9,13,14","78,15,94,98,1","15,33,98","0,37,30,19","15,98",2,0,0.268354553,-0.080586822
8,"9,13,14","78,15,94,98,1","15,78,98","10,37,19,24","78,15,98",3,0,0.266228548,0.151100414
9,"9,13,14","78,15,94,98,1","0,15,98","45,19,24,37","15,98",2,0,0.283405847,0.023386157
10,"9,13,14","78,15,94,98,1","15,84,98","46,19,20","15,98",2,0,0.215294861,-0.228203262
11,"9,13,17","78,91,1,98,76,15,3,70","14,78,98","37,1,19,12,24","78,98",2,0,0.407696253,0.194065721
12,"9,13,17","78,91,1,98,76,15,3,70","8,57,66,69,70,76,102","27,19,28,18,14,15","76,70",2,0,0.066821198,-0.634552267
13,"9,13,17","78,91,1,98,76,15,3,70","15,33,98","0,37,30,19","98,15",2,0,0.368699948,-0.164513349
14,"9,13,17","78,91,1,98,76,15,3,70","15,78,98","10,37,19,24","78,98,15",3,0,0.398687135,0.10557962
15,"9,13,17","78,91,1,98,76,15,3,70","0,15,98","45,19,24,37","98,15",2,0,0.391981293,-0.041461204
16,"9,13,17","78,91,1,98,76,15,3,70","15,84,98","46,19,20","98,15",2,0,0.303924968,-0.315904959
17,"1,13,14","95,15,98,94,1","15,33,98","0,37,30,19","15,98",2,0,0.208101661,-0.09839177
18,"1,13,14","95,15,98,94,1","15,78,98","10,37,19,24","15,98",2,0,0.224345311,0.035669122
19,"1,13,14","95,15,98,94,1","0,15,98","45,19,24,37","15,98",2,0,0.224802417,0.009464981
20,"1,13,14","95,15,98,94,1","15,84,98","46,19,20","15,98",2,0,0.158276998,-0.240886765
21,"23,25,26,43","80,94,74,24,20,18,64,58,65,51,48,6","12,20,24","6,19,40,5,4","24,20",2,0,-0.582580467,-0.404974462
22,"6,8,10,42","59,41,90,60,44,28,79","28,41,44,59,60,79,90","8,19,2,44","59,41,90,60,44,28,79",7,1,-0.687063783,0.065852062
23,"6,8,10,42","59,41,90,60,44,28,79","41,74,90","33,2,11,17,24,19","41,90",2,0,-0.635410171,0.25342272
24,"1,35,41","39,34","34,39,94","38,29,22,26,12,19,1","39,34",2,0,-0.284547715,-0.319615854
25,"13,14,46","14,1,94,98,78,89,37,95","14,78,98","37,1,19,12,24","14,98,78",3,0,0.149106556,0.395514028
26,"13,14,46","14,1,94,98,78,89,37,95","15,78,98","10,37,19,24","98,78",2,0,0.225819034,0.322688331
27,"29,31,33","73,74,54,87,62","54,62,73,74,87","9,12,2,25","73,74,54,87,62",5,1,-0.434981619,0.49301213
28,"14,28,45","68,98,15,33,55,4","15,33,98","0,37,30,19","98,15,33",3,0,-0.034358601,0.025854194
29,"14,28,45","68,98,15,33,55,4","15,78,98","10,37,19,24","98,15",2,0,0.089826343,0.112714881
30,"14,28,45","68,98,15,33,55,4","0,15,98","45,19,24,37","98,15",2,0,0.08388326,0.088302597
